cgpa,skills_score,projects,internship,certifications,job_fit_score
6.03,6,6,0,1,101.27
7.58,7,2,1,1,117.9
5.03,7,10,0,2,120.47
5.04,10,10,1,1,143.63
6.1,2,4,1,0,87.88
5.18,10,8,0,4,135.21
5.54,2,10,0,5,110.57
6.69,10,9,0,6,157.67
9.01,7,1,0,6,128.88
7.86,10,0,0,1,115.42
7.56,7,10,1,6,164.91
6.47,7,7,1,1,126.28
9.66,5,7,0,1,131.01
6.99,1,1,0,5,80.03
5.44,2,7,1,5,106.87
8.09,9,4,1,7,153.03
5.57,8,1,1,4,110.53
6.73,8,6,0,4,127.36
7.54,10,6,0,0,135.55
9.37,1,2,1,3,103.36
7.47,6,0,1,0,103.59
8.51,9,10,0,4,164.41
9.96,8,3,1,7,160.98
5.66,3,1,0,0,63.69
6.37,4,3,1,2,100.1
6.97,3,7,0,0,100.56
7.11,6,1,1,5,115.32
7.06,9,0,1,0,108.56
9.54,8,10,1,2,169.88
8.57,10,2,1,4,149.13
8.04,4,9,0,4,134.29
6.55,2,6,1,1,101.61
9.12,8,5,0,2,139.29
9.78,8,5,1,8,174.14
9.11,6,6,1,0,140.67
5.01,8,7,0,0,110.44
8.18,9,2,1,1,133.3
5.26,1,2,1,7,84.43
6.29,9,9,0,5,148.23
5.3,2,7,1,3,100.3
8.02,1,6,1,6,122.45
8.43,8,9,1,5,170.99
5.57,8,4,0,8,125.3
6.92,4,3,1,5,112.15
7.28,8,5,0,1,119.11
6.85,7,8,0,2,127.17
5.61,2,5,0,8,99.27
7.09,5,7,0,6,128.31
8.76,10,0,1,5,145.53
5.36,4,5,1,4,106.76
5.4,3,1,0,2,69.94
6.77,1,2,1,3,86.07
9.71,5,5,1,0,130.97
8.34,10,1,1,4,143.51
8.39,8,3,1,6,151.64
6.81,9,5,1,1,133.12
7.97,7,4,1,7,145.15
5.05,1,5,0,5,81.48
8.18,1,5,1,2,107.64
9.57,1,7,0,1,113.7
8.06,2,8,1,7,140.25
9.37,1,4,0,3,105.72
8.62,4,5,1,6,139.61
5.6,10,5,0,6,133.28
9.51,9,5,0,8,168.12
5.33,4,1,1,7,100.07
7.67,4,3,1,7,126.2
5.71,7,0,0,6,100.26
5.06,9,0,1,4,112.07
7.11,7,0,1,8,128.03
6.48,1,6,1,6,107.1
7.43,1,0,1,2,80.93
7.89,4,5,0,5,117.56
5.22,4,1,1,2,85.88
5.62,1,5,1,5,97.42
7.79,6,5,1,7,147.41
6.72,10,10,1,8,176.21
8.65,2,2,0,1,92.37
8.26,5,7,1,5,141.36
9.23,8,10,1,2,166.64
8.46,3,3,1,6,121.91
7.15,9,6,0,3,138.22
8.36,7,3,1,4,133.93
6.38,9,0,0,5,110.98
6.53,1,5,1,7,110.63
8.94,5,4,1,1,127.25
7.23,3,8,0,3,118.29
8.99,4,8,0,3,132.94
9.11,4,10,1,5,157.01
9.29,7,7,1,3,154.11
9.58,10,6,1,4,171.93
7.15,8,1,1,4,121.03
6.59,10,7,1,7,158.16
7.91,5,2,0,3,109.21
6.86,10,5,1,5,149.94
8.01,7,9,0,6,158.23
8.53,3,6,0,7,126.54
8.44,3,5,1,8,135.68
6.87,3,4,1,7,115.43
5.83,4,3,0,3,86.39
7.15,6,1,0,3,101.97
5.71,5,8,1,4,125.84
9.45,8,6,0,2,147.35
6.73,5,6,0,1,108.52
5.77,5,3,0,1,88.39
5.13,10,4,1,8,139.0
8.23,2,5,1,7,125.79
8.18,5,10,0,5,145.72
6.7,7,1,0,8,124.08
5.36,2,3,1,4,88.41
7.05,6,3,1,0,108.6
6.56,7,3,0,7,121.8
8.39,5,6,1,2,130.88
8.03,9,6,1,8,167.76
6.82,4,6,1,0,110.49
6.09,10,6,1,2,138.66
9.94,1,1,1,0,97.01
7.27,8,4,0,0,114.0
8.44,8,9,0,5,157.89
5.7,7,1,1,3,100.91
7.43,8,4,1,3,133.28
5.14,2,5,1,4,90.32
7.53,3,2,1,2,96.74
9.82,9,5,0,1,144.28
6.92,1,4,0,7,99.28
5.19,8,3,1,6,124.54
5.15,8,9,1,3,133.17
6.94,7,8,1,1,138.68
5.8,5,10,1,8,143.15
5.12,4,7,1,7,121.43
8.78,10,6,0,3,153.77
7.29,10,10,0,4,161.61
6.45,10,0,1,5,124.24
9.5,10,8,1,3,173.38
5.58,6,8,0,1,108.04
9.78,1,5,0,4,116.09
6.57,5,6,0,0,105.47
9.44,4,2,1,6,129.48
8.01,4,4,0,8,123.92
9.13,7,6,1,2,146.57
9.92,9,0,1,5,149.33
6.44,8,0,0,8,111.67
9.81,8,4,1,3,156.44
6.95,5,8,0,5,127.63
6.93,6,6,1,2,127.25
6.7,2,0,0,8,87.15
7.71,3,4,0,6,111.04
5.77,5,7,0,6,119.42
7.77,2,7,0,3,109.41
7.71,3,1,1,5,106.0
8.81,4,6,0,7,133.89
9.17,6,9,0,5,153.28
7.2,5,4,0,5,111.59
6.51,10,8,0,3,141.62
6.3,4,2,1,7,111.88
5.97,2,0,0,7,82.4
5.29,5,3,1,8,110.81
6.71,5,6,1,5,128.49
6.35,7,0,1,1,98.17
9.83,1,1,0,3,99.45
7.79,4,4,1,3,117.58
6.74,5,8,0,7,131.88
7.9,8,0,0,4,113.73
5.7,8,3,0,3,103.5
7.22,1,2,1,7,103.28
8.13,5,4,0,2,112.76
7.44,10,4,1,1,139.31
7.01,1,9,1,3,114.87
9.97,1,1,1,0,98.46
9.4,2,4,1,0,112.79
8.12,2,8,0,4,120.9
7.85,9,4,0,0,121.42
8.1,4,10,0,3,132.56
6.01,3,9,0,7,117.27
6.98,1,1,0,7,86.21
5.2,2,6,1,1,90.35
7.38,6,5,1,2,124.46
7.72,9,6,1,2,145.4
6.14,5,7,0,0,101.44
9.82,4,9,1,2,155.17
9.55,5,4,0,7,140.76
8.61,9,1,1,5,144.35
7.67,7,6,1,4,142.98
9.35,8,6,1,8,172.77
5.65,4,7,0,6,109.41
8.95,8,6,0,5,148.5
5.62,6,9,0,4,121.86
8.97,5,6,0,4,130.86
6.38,7,8,1,8,150.82
9.39,6,7,0,5,147.88
9.72,3,1,0,3,105.71
5.74,5,1,1,3,92.71
7.31,9,6,1,3,147.5
9.9,7,9,1,5,174.86
7.42,4,10,0,0,119.77
9.32,7,9,1,8,178.05
7.94,5,2,1,1,110.94
6.88,2,0,0,1,66.94
6.43,6,8,1,4,138.65
6.02,7,2,0,3,99.68
8.81,8,0,0,2,116.28
6.93,6,5,0,4,118.65
7.56,8,3,1,6,142.07
7.46,7,0,1,1,109.53
7.89,2,3,1,5,113.64
9.33,6,7,0,3,142.95
9.9,9,10,1,1,177.1
7.04,6,6,0,0,109.24
9.14,4,0,1,7,123.83
8.82,7,9,0,4,156.55
7.87,3,8,0,1,110.17
9.78,5,5,0,7,142.6
6.0,1,1,0,2,62.58
5.55,10,2,0,6,118.71
9.27,3,6,0,1,115.34
7.2,8,2,0,6,127.18
9.23,9,2,0,3,135.28
9.47,9,4,0,0,137.55
5.31,10,2,0,4,109.18
9.42,2,2,0,3,100.13
7.24,4,10,0,7,140.8
7.55,5,4,1,0,114.75
8.13,3,4,1,1,109.51
9.63,1,8,0,4,125.44
5.1,6,0,1,1,84.76
7.38,10,0,0,0,103.88
8.44,2,10,1,5,142.97
8.61,9,8,0,3,152.82
8.46,1,4,1,4,112.29
5.67,9,3,0,2,103.99
6.5,7,1,1,5,114.72
6.79,10,8,0,3,145.27
9.02,2,5,1,5,125.65
6.39,6,8,1,4,134.4
6.05,8,4,1,1,119.24
9.79,2,3,0,3,109.25
5.04,5,6,1,1,100.49
9.99,6,4,1,4,149.79
8.38,3,7,0,2,116.57
9.14,2,7,0,5,126.72
6.47,6,1,1,4,106.0
5.07,3,4,0,1,69.48
8.69,2,9,1,7,144.7
9.17,1,7,1,5,129.35
8.7,8,2,0,8,140.39
5.71,1,6,1,2,89.03
8.77,5,2,1,3,122.36
8.84,6,5,0,7,143.52
8.29,3,1,0,6,105.49
8.83,7,5,1,7,158.32
9.23,2,5,1,8,136.04
8.07,7,7,1,7,158.66
5.44,2,4,0,7,93.67
7.44,5,0,1,5,106.34
5.39,7,7,1,1,121.8
7.04,3,8,1,6,129.31
7.04,4,0,0,3,85.87
5.33,1,4,1,2,80.47
6.74,3,5,1,3,108.33
5.55,9,3,0,3,114.9
9.04,10,10,0,2,167.73
9.74,5,1,1,8,137.63
5.36,8,4,0,2,105.61
9.78,2,3,1,1,112.86
7.61,3,6,1,0,111.01
6.5,7,5,0,0,108.75
5.38,10,2,1,4,123.01
7.5,4,8,1,4,134.9
8.97,9,3,1,8,163.07
8.54,7,10,1,3,165.87
5.25,1,4,1,4,84.27
5.36,4,2,0,5,84.54
7.01,10,7,1,6,163.88
6.48,6,10,1,8,153.95
6.16,6,6,0,5,119.08
6.41,10,10,0,0,140.9
9.02,6,10,0,7,162.94
9.65,5,6,0,1,134.04
7.03,3,7,0,8,125.67
9.53,2,6,0,6,130.29
6.61,3,2,0,6,94.92
7.38,9,2,0,4,122.67
6.13,3,1,1,7,99.56
8.2,3,0,1,0,91.79
9.89,1,4,0,2,106.56
8.02,2,3,1,8,120.33
6.79,3,10,1,0,118.52
8.24,2,1,1,7,111.46
5.61,8,0,1,5,108.87
9.44,6,2,1,4,136.95
7.52,7,5,0,5,126.09
7.25,1,1,0,4,81.69
7.93,6,9,1,8,160.81
8.12,2,6,0,1,99.86
5.36,6,10,1,5,138.69
8.41,3,6,1,3,126.38
6.21,7,10,1,2,144.83
8.57,3,2,0,4,104.15
9.11,9,0,1,1,130.82
9.02,3,8,1,2,135.54
7.76,7,10,1,6,168.28
7.6,4,4,0,0,101.66
5.71,8,1,1,1,102.35
8.88,2,7,0,2,116.1
6.36,8,9,1,6,154.71
7.48,9,9,1,3,159.68
6.42,8,3,1,7,138.13
5.67,6,10,0,7,134.5
8.15,10,9,1,0,156.51
5.27,1,6,1,4,93.81
8.74,7,4,1,0,133.35
6.59,1,2,1,6,94.14
5.0,7,9,1,3,131.01
7.56,2,7,1,7,130.95
5.23,8,1,0,7,107.1
6.38,2,0,1,8,96.16
8.53,3,4,0,5,115.36
5.31,3,10,1,6,121.59
9.2,1,3,0,6,108.8
5.02,5,10,1,4,124.01
6.23,5,9,0,6,128.8
8.7,10,6,1,8,176.65
6.58,5,8,0,3,120.72
5.51,9,5,1,1,122.56
6.8,6,10,0,7,146.36
6.35,6,0,1,6,108.43
9.21,3,7,1,5,143.81
6.57,5,1,1,6,106.34
8.94,10,3,0,2,137.77
9.46,7,2,0,5,136.25
7.17,3,5,0,6,109.48
9.55,2,1,1,6,114.11
6.89,5,4,0,4,111.0
9.82,3,10,1,2,151.72
5.45,5,8,1,1,114.99
8.44,9,2,1,6,148.67
7.47,10,1,1,3,136.07
6.94,1,1,1,1,80.02
8.16,4,8,1,7,151.4
8.52,10,5,1,1,152.55
5.02,5,1,0,5,84.42
5.83,2,2,0,3,72.88
8.57,2,0,1,8,109.98
8.33,1,1,1,4,98.66
9.83,8,1,0,3,132.81
8.81,2,10,1,7,150.74
9.75,3,1,0,2,104.26
8.51,2,6,1,8,135.44
6.49,4,2,1,7,112.66
5.53,1,10,0,7,108.45
8.91,3,3,0,4,108.16
8.22,5,1,1,0,104.28
5.24,10,4,1,8,143.59
6.8,1,8,0,1,92.08
9.78,4,8,0,0,132.37
7.5,6,6,0,5,125.73
7.16,4,7,1,0,114.82
7.29,7,4,0,6,124.48
6.04,7,4,1,6,122.14
6.84,6,2,0,0,93.48
6.85,9,5,0,4,131.44
5.26,2,0,0,2,55.3
8.84,10,2,0,1,130.67
7.08,8,10,1,4,159.54
9.11,8,1,1,4,138.15
9.25,10,6,0,1,150.62
6.06,4,8,1,5,124.68
8.29,6,3,1,6,135.13
7.36,6,6,1,0,121.7
9.4,5,7,0,2,132.96
6.08,1,9,0,3,97.12
8.39,3,1,1,1,97.08
8.04,7,6,0,4,134.55
6.48,8,2,0,3,107.53
5.68,2,7,0,1,84.32
8.26,3,5,0,0,102.6
8.69,4,2,1,7,131.01
6.58,5,7,1,1,118.62
8.22,3,10,0,3,129.93
6.98,5,2,1,4,109.42
8.57,8,8,1,1,155.66
6.0,8,10,1,8,165.44
9.45,2,2,1,1,106.28
6.44,6,0,1,5,105.45
6.84,4,1,0,6,97.39
5.29,9,3,1,5,124.58
5.56,10,10,1,3,152.46
7.58,2,1,0,0,75.58
6.34,8,3,0,1,107.58
9.18,1,3,0,5,103.85
5.07,6,3,1,7,118.67
6.9,10,0,1,2,118.1
6.69,1,8,0,6,106.79
5.1,2,9,1,8,121.24
5.62,3,10,0,3,113.47
7.07,9,6,0,6,142.42
7.46,5,1,1,6,114.58
7.02,10,2,0,8,139.27
7.65,10,7,1,2,154.74
7.98,2,6,0,0,99.14
5.05,10,3,0,7,123.26
7.32,5,3,0,3,102.85
9.82,5,8,1,1,153.24
7.6,1,4,0,4,87.85
8.39,3,10,0,3,134.74
6.56,5,4,0,0,95.34
8.87,9,6,1,6,166.47
8.86,10,0,1,3,143.66
7.61,1,2,1,7,102.11
9.88,8,1,1,8,159.06
5.63,1,10,1,7,116.86
5.08,9,9,0,0,119.39
8.85,6,5,0,7,139.51
9.04,1,10,0,4,127.78
5.6,8,5,0,0,104.83
6.33,5,9,1,8,143.97
5.09,7,0,0,8,95.63
6.47,7,5,1,6,135.66
8.87,7,9,1,6,170.02
7.59,6,1,1,0,105.54
6.74,8,10,0,8,158.27
6.86,9,3,1,0,123.78
5.01,2,5,0,6,87.9
6.5,7,2,1,8,131.02
8.23,2,2,0,8,106.31
9.87,6,2,0,4,127.53
9.24,2,3,1,5,123.63
5.12,10,8,1,1,138.66
9.49,6,3,0,1,122.09
8.92,2,3,0,8,115.55
8.9,1,3,1,0,96.28
7.29,7,6,1,4,141.98
6.99,3,4,1,6,117.47
6.51,4,1,0,5,90.99
5.33,6,6,1,5,126.31
6.14,5,2,0,5,98.05
6.23,4,10,1,7,138.65
7.42,9,0,1,6,131.81
8.74,6,8,1,4,153.91
7.37,6,4,0,1,108.13
5.29,2,9,0,5,105.81
9.79,6,0,0,4,118.4
9.71,7,10,0,3,159.05
8.93,8,0,1,4,134.61
9.96,8,0,1,8,152.64
7.72,9,8,1,1,156.63
9.81,10,7,0,5,173.4
5.38,3,10,0,8,120.97
6.83,10,5,1,4,149.05
6.13,7,9,1,5,146.48
5.98,7,5,0,3,113.1
5.7,1,5,0,4,82.39
8.11,8,3,0,7,138.74
8.91,4,4,0,0,103.05
7.89,5,9,1,0,136.77
5.73,6,2,0,3,86.01
9.06,3,2,1,2,110.56
8.18,5,9,1,4,145.25
6.94,10,6,1,7,159.52
8.37,5,4,0,0,107.82
6.3,1,7,1,4,103.0
6.73,3,4,1,4,101.26
9.59,3,3,1,1,117.11
6.45,1,2,0,4,80.79
7.35,7,1,1,7,128.1
9.45,1,2,1,6,118.52
8.54,7,6,1,1,143.32
5.31,4,7,0,5,101.69
5.74,9,4,0,0,105.98
5.04,7,10,1,2,128.76
8.15,5,0,1,5,113.62
7.24,7,2,0,8,128.31
5.67,9,3,0,0,102.82
9.79,10,9,0,5,180.9
7.65,6,3,1,1,116.1
6.21,1,0,0,8,76.25
7.5,6,9,0,1,130.38
8.4,1,8,0,2,112.69
5.38,4,9,0,1,102.68
6.37,8,3,1,3,122.97
9.03,5,1,0,3,107.81
7.3,5,8,1,0,126.8
7.73,10,3,0,7,147.56
7.16,8,3,1,4,132.12
5.22,8,10,1,7,149.16
5.83,1,5,1,5,99.9
7.23,5,7,1,1,121.93
6.05,5,4,0,6,108.14
5.25,8,7,1,8,145.91
9.22,1,0,1,6,108.91
9.91,7,3,1,4,144.65
8.97,7,0,1,3,125.96
9.27,9,2,1,7,158.25
6.21,2,10,0,5,117.56
9.8,3,6,1,4,140.34
5.98,4,0,1,6,98.77
9.76,1,4,1,2,116.14
9.97,7,0,1,8,148.64
8.56,10,5,1,3,157.86
9.91,3,8,0,3,138.29
7.85,3,2,0,7,104.19
6.3,3,10,0,5,122.19
7.18,8,10,1,0,146.22
7.97,9,5,1,1,140.06
5.37,10,3,0,8,130.97
8.11,2,5,1,5,118.13
9.91,10,1,0,6,152.0
5.95,10,3,1,8,142.63
8.96,1,6,1,2,111.99
9.54,9,10,1,4,184.27
9.72,6,5,0,4,140.0
9.8,9,8,0,6,169.59
7.61,6,10,0,1,132.46
9.89,2,6,0,3,118.48
8.79,1,0,0,3,85.76
5.81,8,5,0,7,130.24
7.38,3,10,1,2,131.77
8.59,1,2,0,1,86.71
6.24,8,7,0,8,140.86
8.2,1,0,0,3,80.72
8.33,8,9,0,8,166.65
5.81,1,1,1,5,80.88
7.83,9,2,0,0,117.52
8.86,9,2,0,2,132.22
7.49,9,6,0,6,146.18
5.06,3,7,0,8,104.67
5.05,4,8,1,7,122.99
6.79,5,6,1,4,124.84
9.63,6,7,1,7,166.62
6.14,9,10,0,1,138.81
8.17,4,5,0,2,107.55
6.11,6,1,0,7,102.54
6.61,1,0,1,8,89.94
9.24,2,2,1,7,125.42
8.64,8,8,0,3,149.74
5.48,4,6,0,5,101.79
7.14,10,1,0,4,124.22
5.15,7,0,1,3,93.98
7.4,4,1,0,8,107.21
8.31,9,2,1,2,139.13
5.59,9,5,1,0,123.31
6.44,4,8,1,6,130.74
6.99,8,7,1,7,154.55
9.6,6,9,0,2,147.54
9.97,1,8,1,2,128.88
5.22,7,10,0,5,133.87
8.81,1,10,1,1,133.28
6.86,3,7,0,5,111.98
6.96,8,6,1,4,140.06
8.77,9,5,1,6,162.62
9.59,3,7,1,8,153.91
9.75,1,5,0,8,124.77
7.89,1,1,1,0,81.17
6.79,7,8,1,6,151.31
8.94,5,8,1,2,144.76
6.26,1,2,1,3,84.58
7.82,6,8,0,1,128.29
6.79,6,1,0,0,86.17
8.28,4,2,0,2,99.11
6.2,7,5,0,8,129.11
5.96,7,3,1,0,102.42
9.59,9,7,1,2,163.22
5.51,1,0,1,4,68.69
7.53,5,5,0,2,112.27
6.1,10,1,1,3,121.1
5.19,3,5,0,3,87.92
5.18,7,0,0,0,74.65
5.88,4,1,0,5,81.09
9.33,4,8,1,6,154.41
6.41,1,5,1,6,107.59
9.75,1,7,1,5,136.09
7.91,10,6,0,6,152.52
7.18,2,8,1,2,112.22
7.9,2,8,1,4,129.6
7.58,1,10,0,6,122.05
8.79,8,3,1,4,147.43
6.41,6,6,1,1,119.61
6.77,6,4,0,5,113.58
9.47,10,6,0,6,170.1
9.73,10,3,1,1,151.01
9.46,9,9,0,7,174.81
7.1,5,10,1,4,142.04
8.9,4,10,1,7,163.75
7.38,6,0,0,2,97.33
7.49,8,3,0,1,114.11
6.02,1,9,0,6,103.45
7.96,7,2,0,4,115.53
5.93,8,8,1,4,139.31
6.66,9,4,0,7,132.67
9.28,8,3,0,8,150.73
6.04,7,7,0,7,136.16
5.36,3,4,0,1,78.44
5.35,2,2,1,6,86.5
9.7,3,1,0,4,107.24
7.53,4,7,0,6,125.28
7.05,4,1,1,2,97.15
9.05,6,7,0,3,142.58
9.18,7,4,1,6,151.5
6.66,4,7,1,1,117.37
8.47,10,4,1,1,150.95
8.86,6,0,1,0,110.15
8.27,9,10,0,0,150.43
5.76,6,10,1,0,125.34
9.38,3,1,0,5,109.16
7.7,1,5,1,4,107.85
6.41,10,2,1,7,142.07
7.13,10,7,0,4,143.91
5.19,5,4,0,0,81.43
5.64,10,2,1,7,134.77
8.83,10,9,0,5,173.36
5.0,3,6,1,7,114.39
7.08,8,7,0,1,125.08
7.61,10,3,1,7,152.6
5.27,1,10,0,5,97.65
9.87,2,8,0,0,118.7
6.13,3,5,1,0,90.51
6.52,3,0,1,4,88.13
6.52,8,4,1,6,135.7
6.15,5,4,0,3,100.16
5.01,8,6,0,4,115.46
8.65,6,6,1,2,140.11
9.83,2,5,0,1,111.9
6.12,4,7,1,1,107.91
8.32,9,1,0,4,124.15
8.71,4,6,0,3,123.84
9.24,5,9,0,1,141.23
7.11,5,6,1,4,132.98
6.51,10,3,0,8,139.99
6.63,8,9,0,7,152.93
8.56,6,1,0,8,127.43
9.08,10,3,0,8,159.28
5.91,7,3,1,7,125.49
6.85,6,5,0,8,128.63
9.51,5,6,0,3,135.29
9.03,5,2,0,7,125.23
9.92,3,9,0,1,133.1
8.77,7,0,1,8,136.81
6.97,10,2,0,8,138.68
7.95,5,8,0,2,124.71
8.31,7,0,0,5,116.51
5.39,2,7,0,6,100.14
7.72,9,1,1,2,127.95
8.55,8,5,0,4,141.92
5.84,5,2,0,0,79.27
8.9,2,6,1,2,122.2
7.92,6,1,0,7,117.38
9.76,8,3,1,2,142.15
5.21,7,9,0,7,134.76
6.33,8,8,0,8,147.21
8.01,4,5,0,5,121.09
6.48,3,3,0,6,96.81
8.57,7,1,0,5,119.37
8.8,2,9,0,7,137.18
5.51,5,8,0,6,120.87
7.57,7,3,0,0,108.51
7.54,1,8,0,2,103.06
6.85,4,1,0,2,81.44
9.66,2,6,0,2,115.26
9.14,6,10,0,3,153.05
8.49,1,10,1,0,119.56
8.57,7,4,0,1,121.94
7.31,3,7,1,4,123.55
9.6,1,10,1,5,149.14
8.47,8,7,0,8,161.01
8.64,7,3,1,1,131.08
9.31,2,3,0,8,121.07
6.37,7,7,0,6,130.27
9.04,3,2,1,8,128.06
5.98,9,6,1,3,133.94
6.73,8,7,1,6,151.0
6.68,5,7,0,0,105.04
9.89,7,10,1,7,184.35
9.28,3,9,1,6,153.31
8.51,1,3,1,6,116.33
8.64,1,8,0,1,110.4
7.81,2,9,0,8,130.94
9.74,8,3,1,7,161.19
7.48,1,7,1,0,106.15
6.9,5,5,1,0,111.45
5.82,9,4,1,4,126.32
8.93,9,3,1,1,139.62
8.67,2,4,1,0,103.39
6.92,7,10,1,7,164.26
5.13,1,0,0,3,57.52
9.19,3,6,1,1,124.31
5.06,6,7,1,4,119.16
8.52,9,8,0,5,160.24
9.85,10,2,1,7,167.96
7.19,2,8,0,6,115.58
6.17,7,9,1,6,147.9
8.52,4,4,0,0,101.29
9.09,2,9,1,2,137.23
7.73,3,5,1,2,109.34
9.84,6,0,0,6,123.14
5.26,10,8,0,1,127.94
7.52,9,8,0,6,152.72
8.59,8,5,1,8,161.74
9.31,10,7,1,0,162.63
5.9,9,3,1,1,118.52
9.0,4,4,1,5,132.56
7.76,4,4,1,1,114.67
6.98,9,6,0,1,127.86
5.66,8,6,1,4,133.65
9.33,2,6,0,6,127.17
5.79,8,4,0,3,115.55
6.55,1,3,1,5,96.51
6.45,9,7,1,2,140.69
9.36,9,0,0,3,130.11
8.36,8,0,1,3,125.39
8.98,5,5,0,3,125.33
6.25,5,1,1,0,86.41
8.12,3,2,0,3,95.38
7.86,5,3,1,3,122.99
9.16,4,1,1,5,119.91
9.53,1,9,1,8,149.93
5.06,9,6,0,5,124.3
8.37,10,9,1,5,177.84
5.26,4,0,0,6,80.84
7.74,3,2,1,6,112.02
6.44,6,1,1,0,96.4
6.53,1,8,0,7,112.56
6.76,5,7,0,0,109.65
8.11,7,2,0,8,131.32
6.67,2,4,1,3,99.58
8.66,10,2,1,8,159.02
7.02,9,10,1,7,170.74
5.34,6,10,1,8,144.39
8.92,2,10,1,5,146.26
6.43,8,5,1,8,143.71
7.16,8,4,1,3,129.27
8.43,1,10,0,2,117.65
6.66,1,1,1,2,74.84
5.28,1,9,0,7,106.92
6.87,4,7,1,1,114.84
9.72,4,5,0,5,134.75
8.21,8,2,0,8,136.69
8.36,1,0,0,8,93.47
8.16,10,4,1,7,164.64
5.99,3,10,0,7,124.14
7.09,1,1,0,0,69.51
8.75,9,1,0,6,136.1
5.51,10,8,0,0,125.17
6.39,9,10,1,8,172.12
6.38,7,9,1,2,140.08
7.16,8,6,1,0,131.59
9.9,1,5,1,7,141.89
5.34,5,0,0,6,85.14
7.59,2,9,1,1,117.21
5.9,1,1,0,6,72.17
9.85,3,10,1,4,155.28
5.57,7,6,0,6,124.57
7.02,1,2,0,6,86.77
8.69,2,1,0,1,89.65
8.52,2,5,0,1,102.05
7.11,4,7,1,6,135.08
6.73,3,7,1,2,113.64
6.99,3,10,0,3,120.66
6.32,10,1,0,6,124.08
6.03,5,5,1,1,105.08
7.42,3,4,1,1,102.21
6.34,7,6,1,8,144.44
6.44,5,3,0,0,92.38
8.28,4,1,0,2,93.19
9.84,3,9,0,3,134.68
8.02,4,2,0,4,103.62
5.38,2,8,1,2,103.14
5.38,1,9,0,8,108.13
9.76,3,7,1,4,140.72
6.49,2,8,0,6,112.05
5.46,1,4,1,6,89.22
8.0,1,4,0,8,110.22
8.12,2,6,1,1,111.33
8.24,9,6,1,2,150.78
6.34,5,0,0,3,85.55
5.08,9,4,1,7,133.02
9.83,8,7,1,0,155.52
6.25,6,6,1,8,140.1
8.38,1,10,0,4,125.63
8.53,10,1,0,3,127.72
8.05,5,7,0,7,137.94
6.56,1,1,0,8,83.36
6.36,7,9,1,2,135.31
7.99,10,0,1,3,133.98
9.33,8,10,0,0,153.81
9.73,8,10,1,2,173.58
5.53,7,10,0,4,129.9
5.77,2,2,0,7,85.93
9.72,5,2,1,0,122.15
8.68,4,5,0,0,113.8
9.41,5,2,1,2,123.96
6.01,10,6,0,8,143.21
7.94,9,7,0,8,159.5
8.51,4,2,0,0,97.74
8.4,8,8,1,3,156.66
7.04,8,0,0,7,114.36
5.08,2,2,1,1,70.11
7.91,6,2,0,3,109.25
6.27,5,6,0,6,114.96
7.25,2,10,1,6,136.45
9.79,10,10,1,4,190.15
7.0,4,4,1,6,121.54
9.2,7,3,1,5,144.7
5.94,1,1,1,1,70.66
8.36,9,6,1,8,168.91
9.89,10,2,0,4,146.82
5.51,1,6,1,1,84.99
5.04,5,9,0,5,113.1
7.17,7,6,0,4,131.92
5.46,8,10,0,1,126.99
8.74,2,1,1,6,110.34
9.57,4,6,0,1,122.83
7.17,2,5,0,6,100.46
6.29,4,9,0,5,124.22
7.17,6,3,1,3,121.05
8.62,6,10,0,3,148.15
5.05,2,4,1,5,92.0
7.95,4,7,0,8,133.04
8.07,4,4,1,5,123.14
8.19,1,2,1,5,100.11
6.21,2,1,0,0,63.36
8.57,3,5,0,4,117.68
5.46,5,5,1,0,97.89
6.0,8,6,1,8,146.67
9.39,6,7,1,3,154.06
8.69,3,3,0,1,96.3
5.07,6,7,0,8,126.24
6.24,7,0,0,5,102.25
6.07,6,5,0,2,105.6
6.35,10,5,0,1,125.68
6.24,6,2,1,5,114.84
5.31,1,8,1,5,105.09
7.29,3,4,1,8,126.21
8.66,7,0,1,4,125.4
8.03,4,6,1,8,143.19
8.36,4,9,1,4,147.56
5.41,7,2,0,1,83.86
9.76,9,9,1,0,169.94
9.19,2,9,0,8,144.99
9.03,9,10,0,6,171.79
9.11,3,3,0,2,106.48
9.66,6,5,0,5,140.72
7.72,4,7,1,3,129.56
6.0,1,3,1,8,98.82
8.08,9,8,0,1,142.78
8.71,6,7,0,3,138.93
8.69,8,9,1,0,154.68
7.61,2,9,1,6,135.4
5.34,7,5,1,3,119.37
6.86,6,6,0,4,119.01
9.6,2,7,1,0,124.85
7.92,2,1,1,1,89.39
7.69,4,4,0,3,105.99
6.34,4,6,0,1,102.07
6.84,3,7,1,0,108.65
9.48,8,4,0,0,132.44
8.33,7,2,0,5,125.71
8.94,2,5,0,1,105.36
7.27,3,4,0,2,91.52
8.15,10,7,0,4,159.8
6.24,9,8,1,2,140.01
8.53,5,8,1,5,153.68
7.14,2,5,1,6,116.34
7.21,3,3,1,5,110.06
8.25,8,3,1,1,130.36
9.68,4,8,0,8,158.66
5.32,2,3,1,1,78.77
9.12,2,7,1,5,136.03
6.46,6,8,0,8,136.62
7.22,8,4,1,8,146.45
5.11,7,5,1,1,108.98
6.51,4,2,1,8,112.18
7.51,2,4,1,7,118.46
5.28,9,4,0,6,119.96
